Parameter,Fitness
Saw Tooth ,0.363907898
Saw Tooth ,0.329291062
Saw Tooth ,0.396214599
Saw Tooth ,0.269984422
Saw Tooth ,0.292490773
Saw Tooth ,0.391030423
Saw Tooth ,0.3384364
Saw Tooth ,0.296389403
Saw Tooth ,0.352442403
Saw Tooth ,0.323413036
Default,0.034543719
Default,0.201942953
Default,0.006006232
Default,0.039984634
Default,0.015209828
Default,0.131276273
Default,0.155607692
Default,0.072052833
Default,0.204046766
Default,0.020509266
